bgrp,Day_Count,Day_Low,K12_Count,K12_Low
420034302002,0.0,-99999.0,2.0,0.0
420034302003,0.0,-99999.0,0.0,-99999.0
420034302004,0.0,-99999.0,0.0,-99999.0
420034302005,0.0,-99999.0,0.0,-99999.0
420034311001,0.0,-99999.0,0.0,-99999.0
420034311002,0.0,-99999.0,0.0,-99999.0
420034314001,0.0,-99999.0,1.0,0.0
420034315001,1.0,1.0,0.0,-99999.0
420034315002,1.0,0.0,0.0,-99999.0
420034315003,0.0,-99999.0,1.0,0.0
420034315004,0.0,-99999.0,0.0,-99999.0
420034323001,0.0,-99999.0,0.0,-99999.0
420034323002,1.0,0.0,1.0,0.0
420034324001,1.0,0.0,0.0,-99999.0
420034324002,0.0,-99999.0,0.0,-99999.0
420034324003,0.0,-99999.0,0.0,-99999.0
420034340001,0.0,-99999.0,0.0,-99999.0
420034340002,0.0,-99999.0,0.0,-99999.0
420034350001,1.0,0.0,2.0,0.0
420034350002,0.0,-99999.0,1.0,0.0
420034370001,1.0,0.0,3.0,0.0
420034370002,0.0,-99999.0,0.0,-99999.0
420034390001,0.0,-99999.0,0.0,-99999.0
420034455001,1.0,0.0,0.0,-99999.0
420034455002,1.0,0.0,1.0,0.0
420034455003,0.0,-99999.0,3.0,0.0
420034460001,0.0,-99999.0,1.0,0.0
420034460002,1.0,0.0,1.0,0.0
420034470001,0.0,-99999.0,1.0,0.0
420034480001,0.0,-99999.0,1.0,0.0
420034490001,0.0,-99999.0,0.0,-99999.0
420034507001,0.0,-99999.0,0.0,-99999.0
420034507002,0.0,-99999.0,4.0,0.0
420034508001,1.0,0.0,0.0,-99999.0
420034508002,0.0,-99999.0,0.0,-99999.0
420034508003,0.0,-99999.0,0.0,-99999.0
420034511011,1.0,0.0,2.0,0.0
420034511012,2.0,0.0,2.0,0.0
420034511021,0.0,-99999.0,0.0,-99999.0
420034511022,1.0,0.0,1.0,0.0
420034511023,1.0,0.0,2.0,1.0
420034511041,0.0,-99999.0,0.0,-99999.0
420034511042,0.0,-99999.0,0.0,-99999.0
420034511051,2.0,0.0,3.0,1.0
420034511052,1.0,0.0,0.0,-99999.0
420034511053,0.0,-99999.0,0.0,-99999.0
420034513001,1.0,0.0,2.0,0.0
420034513002,0.0,-99999.0,0.0,-99999.0
420034513003,1.0,0.0,1.0,0.0
420034513004,1.0,0.0,2.0,0.0
420034520002,0.0,-99999.0,0.0,-99999.0
420034520003,1.0,0.0,0.0,-99999.0
420034530032,0.0,-99999.0,1.0,0.0
420034530041,0.0,-99999.0,0.0,-99999.0
420034530042,1.0,0.0,0.0,-99999.0
420034530043,0.0,-99999.0,0.0,-99999.0
420034530044,0.0,-99999.0,0.0,-99999.0
420034550001,2.0,0.0,0.0,-99999.0
420034560011,3.0,0.0,3.0,0.0
420034560012,0.0,-99999.0,0.0,-99999.0
420034560031,0.0,-99999.0,0.0,-99999.0
420034560032,1.0,0.0,0.0,-99999.0
420034560033,0.0,-99999.0,0.0,-99999.0
420034560041,1.0,0.0,0.0,-99999.0
420034560042,1.0,0.0,0.0,-99999.0
420034571001,0.0,-99999.0,0.0,-99999.0
420034571002,1.0,0.0,1.0,0.0
420034572001,0.0,-99999.0,0.0,-99999.0
420034572002,0.0,-99999.0,0.0,-99999.0
420034572003,0.0,-99999.0,0.0,-99999.0
420034572004,0.0,-99999.0,0.0,-99999.0
420034580001,0.0,-99999.0,0.0,-99999.0
420034580002,1.0,0.0,3.0,2.0
420034580003,0.0,-99999.0,0.0,-99999.0
420034580004,0.0,-99999.0,0.0,-99999.0
420034591011,2.0,0.0,1.0,0.0
420034591021,0.0,-99999.0,0.0,-99999.0
420034591022,0.0,-99999.0,1.0,0.0
420034591023,0.0,-99999.0,1.0,0.0
420034592011,2.0,0.0,1.0,0.0
420034592012,0.0,-99999.0,1.0,0.0
420034592013,1.0,0.0,2.0,0.0
420034592014,1.0,0.0,0.0,-99999.0
420034592021,0.0,-99999.0,0.0,-99999.0
420034600011,0.0,-99999.0,5.0,0.0
420034600012,1.0,0.0,0.0,-99999.0
420034600021,0.0,-99999.0,1.0,0.0
420034600022,0.0,-99999.0,0.0,-99999.0
420034600023,0.0,-99999.0,0.0,-99999.0
420034610001,0.0,-99999.0,0.0,-99999.0
420034621001,0.0,-99999.0,0.0,-99999.0
420034621002,0.0,-99999.0,0.0,-99999.0
420034621003,0.0,-99999.0,0.0,-99999.0
420034626001,0.0,-99999.0,0.0,-99999.0
420034626002,0.0,-99999.0,0.0,-99999.0
420034626003,0.0,-99999.0,1.0,1.0
420034626004,0.0,-99999.0,1.0,0.0
420034639001,0.0,-99999.0,0.0,-99999.0
420034639002,0.0,-99999.0,0.0,-99999.0
420034639003,0.0,-99999.0,0.0,-99999.0
420034643001,2.0,0.0,0.0,-99999.0
420034643002,0.0,-99999.0,0.0,-99999.0
420034643003,0.0,-99999.0,0.0,-99999.0
420034643004,0.0,-99999.0,0.0,-99999.0
420034644001,0.0,-99999.0,0.0,-99999.0
420034644002,0.0,-99999.0,0.0,-99999.0
420034644003,2.0,2.0,1.0,1.0
420034644004,1.0,1.0,0.0,-99999.0
420034656001,1.0,0.0,1.0,0.0
420034656002,1.0,0.0,0.0,-99999.0
420034658001,0.0,-99999.0,1.0,0.0
420034658002,0.0,-99999.0,1.0,0.0
420034658003,0.0,-99999.0,0.0,-99999.0
420034687001,0.0,-99999.0,0.0,-99999.0
420034687002,0.0,-99999.0,0.0,-99999.0
420034688001,0.0,-99999.0,0.0,-99999.0
420034688002,1.0,0.0,0.0,-99999.0
420034688003,0.0,-99999.0,0.0,-99999.0
420034689001,0.0,-99999.0,0.0,-99999.0
420034689002,1.0,0.0,1.0,0.0
420034689003,0.0,-99999.0,0.0,-99999.0
420034690001,0.0,-99999.0,0.0,-99999.0
420034690002,0.0,-99999.0,0.0,-99999.0
420034690003,2.0,0.0,2.0,0.0
