bgrp,IBuff_Pop,SBuff_Pop,Buff_Pop,Buff_Pct,Lane_PctSB,Lane_PctIB
420033103001,87,70,157,15.9099998474,69.0699996948,30.9300003052
420033204001,629,100,729,96.6800003052,28.4500007629,71.5500030518
420033204002,442,144,586,88.25,61.7900009155,38.2099990845
420033204003,228,289,517,89.7600021362,34.3499984741,65.6500015259
420033206001,724,25,749,64.6800003052,10.5900001526,89.4100036621
420033206002,935,91,1026,93.0199966431,28.7000007629,71.3000030518
420033207001,435,11,446,39.2299995422,29.6599998474,70.3399963379
420033207002,279,225,504,98.25,42.8699989319,57.1300010681
420034011001,841,296,1137,79.7900009155,55.3699989319,44.6300010681
420034011002,499,107,606,50.5800018311,41.2200012207,58.7799987793
420034011003,374,62,436,52.4700012207,14.6000003815,85.4000015259
420034011004,594,118,712,71.6999969482,21.4200000763,78.5800018311
420034012001,0,0,0,0.0,0.0,0.0
420034012002,410,96,506,46.0800018311,15.1899995804,84.8099975586
420034012003,0,0,0,0.0,0.0,0.0
420034012004,184,27,211,28.1000003815,27.5900001526,72.4100036621
420034013001,853,119,972,74.4800033569,22.8799991608,77.1200027466
420034013002,138,69,207,34.3300018311,53.4199981689,46.5800018311
420034013003,388,339,727,87.1699981689,36.4000015259,63.5999984741
420034020001,472,29,501,80.1600036621,4.63000011444,95.3700027466
420034020002,0,0,0,0.0,0.0,0.0
420034020003,417,89,506,44.7799987793,10.3999996185,89.5999984741
420034020004,0,0,0,0.0,0.0,0.0
420034035001,652,159,811,90.7200012207,42.2599983215,57.7400016785
420034035002,698,42,740,97.5,21.7399997711,78.2600021362
420034035003,802,43,845,69.7200012207,32.0499992371,67.9499969482
420034035004,151,0,151,16.4099998474,4.28000020981,95.7200012207
420034035005,734,11,745,100.0,3.19000005722,96.8099975586
420034040001,1023,163,1186,79.0699996948,35.2700004578,64.7300033569
420034050002,106,49,155,32.7700004578,56.8800010681,43.1199989319
420034070012,663,115,778,60.3100013733,45.8400001526,54.1599998474
420034070013,863,171,1034,62.0999984741,55.1599998474,44.8400001526
420034070014,544,210,754,49.6399993896,64.8899993896,35.1100006104
420034070021,669,313,982,70.8000030518,61.7099990845,38.2900009155
420034070022,809,388,1197,75.6600036621,69.2799987793,30.7199993134
420034070023,543,103,646,77.7399978638,45.5499992371,54.4500007629
420034070024,941,918,1859,66.4599990845,64.8199996948,35.1800003052
420034080011,578,142,720,60.7099990845,34.3100013733,65.6900024414
420034080012,469,298,767,36.0900001526,51.9599990845,48.0400009155
420034080013,348,206,554,38.0,53.1300010681,46.8699989319
420034080021,554,774,1328,34.8400001526,59.8300018311,40.1699981689
420034080022,769,334,1103,43.7900009155,40.9399986267,59.0600013733
420034090001,1484,823,2307,61.6699981689,60.7700004578,39.2299995422
420034090002,532,677,1209,54.0,67.5299987793,32.4700012207
420034090003,1030,361,1391,43.2000007629,49.4000015259,50.5999984741
