bgrp,IWDP_Pop,BWDP_Pop,IWDP_Pct,BWDP_Pct
420034142001,223,2999,6.92000007629,93.0800018311
420034142002,0,971,0.0,100.0
420034142003,38,1734,2.1400001049,97.8600006104
420034150011,203,907,18.2900009155,81.7099990845
420034150012,188,1318,12.4799995422,87.5199966431
420034150013,414,1675,19.8199996948,80.1800003052
420034150021,148,1319,10.0900001526,89.9100036621
420034150022,219,859,20.3199996948,79.6800003052
420034160001,553,339,62.0,38.0
420034160002,115,629,15.4600000381,84.5400009155
420034171001,525,303,63.4099998474,36.5900001526
420034171002,77,628,10.9200000763,89.0800018311
420034171003,35,577,5.71999979019,94.2799987793
420034172001,852,408,67.6200027466,32.3800010681
420034180001,294,1452,16.8400001526,83.1600036621
420034190001,201,904,18.1900005341,81.8099975586
420034190002,465,265,63.7000007629,36.2999992371
420034190003,320,766,29.4699993134,70.5299987793
420034200001,553,879,38.6199989319,61.3800010681
420034211001,0,1067,0.0,100.0
420034211002,300,545,35.5,64.5
420034211003,0,1546,0.0,100.0
420034211004,157,488,24.3400001526,75.6600036621
420034212001,460,1499,23.4799995422,76.5199966431
420034212002,218,869,20.0599994659,79.9400024414
420034212003,69,178,27.9400005341,72.0599975586
420034212004,36,967,3.58999991417,96.4100036621
420034220001,0,1752,0.0,100.0
420034220002,31,725,4.09999990463,95.9000015259
420034220003,41,1005,3.92000007629,96.0800018311
420034220004,146,1688,7.96000003815,92.0400009155
420034230001,917,41,95.7200012207,4.28000020981
420034230002,59,937,5.92000007629,94.0800018311
420034230003,847,0,100.0,0.0
420034240001,694,242,74.1500015259,25.8500003815
420034240002,336,328,50.5999984741,49.4000015259
420034240003,56,693,7.48000001907,92.5199966431
420034240004,0,1097,0.0,100.0
420034250001,2,549,0.360000014305,99.6399993896
420034250002,173,785,18.0599994659,81.9400024414
420034250003,0,1104,0.0,100.0
420034250004,64,765,7.71999979019,92.2799987793
420034263001,0,1579,0.0,100.0
420034263002,11,2073,0.52999997139,99.4700012207
420034263003,373,2001,15.7100000381,84.2900009155
420034264001,106,808,11.6000003815,88.4000015259
420034264002,17,1040,1.61000001431,98.3899993896
420034264003,621,447,58.1500015259,41.8499984741
420034264004,207,1335,13.4200000763,86.5800018311
420034267001,311,386,44.6199989319,55.3800010681
420034267002,192,1472,11.5399999619,88.4599990845
420034268001,0,1330,0.0,100.0
420034268002,0,2505,0.0,100.0
420034268003,46,1488,3.0,97.0
420034270001,38,1405,2.63000011444,97.3700027466
420034270002,0,838,0.0,100.0
420034270003,0,1463,0.0,100.0
420034271001,216,1498,12.6000003815,87.4000015259
420034271002,108,1681,6.03999996185,93.9599990845
420034271003,473,1534,23.5699996948,76.4300003052
420034272001,372,889,29.5,70.5
420034272002,327,870,27.3199996948,72.6800003052
420034272003,628,647,49.25,50.75
420034272004,641,525,54.9700012207,45.0299987793
420034281001,0,632,0.0,100.0
420034281002,81,513,13.6400003433,86.3600006104
420034282001,0,640,0.0,100.0
420034282002,24,1427,1.64999997616,98.3499984741
420034291001,199,928,17.6599998474,82.3399963379
420034291002,1,1379,0.070000000298,99.9300003052
420034292011,328,1562,17.3500003815,82.6500015259
420034292012,827,1593,34.1699981689,65.8300018311
420034292021,618,597,50.8600006104,49.1399993896
420034292022,449,897,33.3600006104,66.6399993896
420034292023,105,1699,5.82000017166,94.1800003052
420034293001,382,1581,19.4599990845,80.5400009155
420034293002,0,1413,0.0,100.0
420034293003,353,963,26.8199996948,73.1800003052
420034293004,334,618,35.0800018311,64.9199981689
420034294001,25,563,4.25,95.75
420034294002,966,722,57.2299995422,42.7700004578
420034294003,915,355,72.0500030518,27.9500007629
420034294004,61,658,8.47999954224,91.5199966431
420034295001,25,1841,1.34000003338,98.6600036621
420034295002,284,1408,16.7800006866,83.2200012207
420034295003,54,600,8.26000022888,91.7399978638
420034296001,698,1731,28.7399997711,71.2600021362
420034296002,819,180,81.9800033569,18.0200004578
420034297001,370,1109,25.0200004578,74.9800033569
420034297002,107,783,12.0200004578,87.9800033569
420034301001,0,730,0.0,100.0
420034301002,0,1374,0.0,100.0
420034302001,132,672,16.4200000763,83.5800018311
420034302002,55,1208,4.34999990463,95.6500015259
420034302003,688,334,67.3199996948,32.6800003052
420034302004,549,222,71.2099990845,28.7900009155
420034302005,125,682,15.4899997711,84.5100021362
420034311001,1342,332,80.1699981689,19.8299999237
420034311002,1379,327,80.8300018311,19.1700000763
420034314001,1076,826,56.5699996948,43.4300003052
420034315001,359,285,55.75,44.25
420034315002,838,4,99.5199966431,0.479999989271
420034315003,718,164,81.4100036621,18.5900001526
420034315004,187,533,25.9699993134,74.0299987793
420034323001,972,140,87.4100036621,12.5900001526
420034323002,986,23,97.7200012207,2.27999997139
420034324001,458,542,45.7999992371,54.2000007629
420034324002,810,0,100.0,0.0
420034324003,591,183,76.3600006104,23.6399993896
420034340001,282,604,31.8299999237,68.1699981689
420034340002,41,854,4.57999992371,95.4199981689
420034350001,246,1059,18.8500003815,81.1500015259
420034350002,193,951,16.8700008392,83.1299972534
420034370001,9,2539,0.34999999404,99.6500015259
420034370002,238,1971,10.7700004578,89.2300033569
420034390001,128,1260,9.22000026703,90.7799987793
420034455001,214,877,19.6200008392,80.3799972534
420034455002,864,768,52.9399986267,47.0600013733
420034455003,302,792,27.6100006104,72.3899993896
420034460001,380,500,43.1800003052,56.8199996948
420034460002,524,276,65.5,34.5
420034470001,710,924,43.4500007629,56.5499992371
420034480001,891,327,73.1500015259,26.8500003815
420034490001,76,2564,2.88000011444,97.1200027466
420034507001,3,1508,0.20000000298,99.8000030518
420034507002,0,1626,0.0,100.0
420034508001,0,1314,0.0,100.0
420034508002,0,519,0.0,100.0
